Sales_ID,Sales_Date,Region,Product_Category,Product_Type,Units_Sold,Unit_Price_USD,Total_Sales_USD
1,2023-01-01,Latin America,Footwear,Bags,11,141.74,1559.14
2,2023-01-02,Europe,Apparel,Shorts,5,106.0,530.0
3,2023-01-03,India,Apparel,Training Shoes,17,123.03,2091.51
4,2023-01-04,India,Equipment,Bags,1,173.33,173.33
5,2023-01-05,Latin America,Apparel,Basketball Shoes,19,139.47,2649.93
6,2023-01-06,Europe,Equipment,Bags,2,226.05,452.1
7,2023-01-07,North America,Apparel,T-Shirts,4,98.08,392.32
8,2023-01-08,Europe,Equipment,Jackets,16,219.22,3507.52
9,2023-01-09,Asia-Pacific,Equipment,Bags,19,92.7,1761.3
10,2023-01-10,Asia-Pacific,Footwear,T-Shirts,14,57.63,806.82
11,2023-01-11,North America,Footwear,Running Shoes,17,53.63,911.71
12,2023-01-12,Latin America,Apparel,Shorts,9,84.78,763.02
13,2023-01-13,North America,Footwear,Shorts,9,231.34,2082.06
14,2023-01-14,Latin America,Apparel,Training Shoes,19,205.1,3896.9
15,2023-01-15,North America,Footwear,Basketball Shoes,16,190.46,3047.36
16,2023-01-16,India,Equipment,Bags,11,93.96,1033.56
17,2023-01-17,Asia-Pacific,Footwear,Basketball Shoes,15,73.72,1105.8
18,2023-01-18,India,Apparel,Basketball Shoes,10,106.38,1063.8
19,2023-01-19,Latin America,Apparel,Running Shoes,10,175.32,1753.2
20,2023-01-20,Latin America,Apparel,T-Shirts,18,61.52,1107.36
21,2023-01-21,North America,Equipment,Training Shoes,11,143.88,1582.68
22,2023-01-22,North America,Apparel,Bags,14,107.95,1511.3
23,2023-01-23,North America,Equipment,Training Shoes,1,195.94,195.94
24,2023-01-24,India,Footwear,Shorts,7,169.9,1189.3
25,2023-01-25,North America,Apparel,Running Shoes,10,58.58,585.8
26,2023-01-26,Asia-Pacific,Equipment,Running Shoes,15,94.52,1417.8
27,2023-01-27,North America,Footwear,Basketball Shoes,19,206.78,3928.82
28,2023-01-28,Europe,Footwear,T-Shirts,4,224.61,898.44
29,2023-01-29,Latin America,Apparel,Running Shoes,13,139.99,1819.87
30,2023-01-30,Europe,Apparel,T-Shirts,17,211.1,3588.7
31,2023-01-31,India,Footwear,Training Shoes,15,72.39,1085.85
32,2023-02-01,India,Apparel,Training Shoes,19,116.36,2210.84
33,2023-02-02,North America,Footwear,Training Shoes,4,169.78,679.12
34,2023-02-03,India,Footwear,Jackets,5,31.24,156.2
35,2023-02-04,North America,Equipment,Basketball Shoes,7,144.15,1009.05
36,2023-02-05,Europe,Equipment,Bags,9,216.87,1951.83
37,2023-02-06,North America,Equipment,Bags,4,72.26,289.04
38,2023-02-07,North America,Equipment,Running Shoes,18,27.65,497.7
39,2023-02-08,Latin America,Footwear,Bags,5,170.73,853.65
40,2023-02-09,Latin America,Footwear,Basketball Shoes,14,173.64,2430.96
41,2023-02-10,Latin America,Footwear,Running Shoes,8,79.6,636.8
42,2023-02-11,Asia-Pacific,Apparel,Jackets,4,98.44,393.76
43,2023-02-12,Europe,Equipment,Jackets,10,102.4,1024.0
44,2023-02-13,India,Footwear,Jackets,11,43.75,481.25
45,2023-02-14,North America,Apparel,Shorts,3,192.43,577.29
46,2023-02-15,Latin America,Footwear,T-Shirts,8,73.23,585.84
47,2023-02-16,North America,Apparel,Shorts,11,198.67,2185.37
48,2023-02-17,Latin America,Equipment,Jackets,1,171.56,171.56
49,2023-02-18,India,Apparel,Running Shoes,14,48.34,676.76
50,2023-02-19,Europe,Apparel,Jackets,8,193.29,1546.32
51,2023-02-20,India,Apparel,T-Shirts,13,57.35,745.55
52,2023-02-21,India,Apparel,Shorts,14,173.11,2423.54
53,2023-02-22,India,Footwear,T-Shirts,13,42.46,551.98
54,2023-02-23,Europe,Equipment,Jackets,17,155.65,2646.05
55,2023-02-24,India,Footwear,Basketball Shoes,4,124.95,499.8
56,2023-02-25,India,Footwear,Shorts,5,142.93,714.65
57,2023-02-26,Latin America,Apparel,Shorts,3,193.44,580.32
58,2023-02-27,India,Equipment,Basketball Shoes,1,191.12,191.12
59,2023-02-28,Europe,Apparel,Jackets,15,35.24,528.6
60,2023-03-01,India,Equipment,Shorts,3,61.74,185.22
61,2023-03-02,Europe,Apparel,Shorts,7,245.95,1721.65
62,2023-03-03,Europe,Footwear,Shorts,2,123.85,247.7
63,2023-03-04,Europe,Equipment,Bags,5,209.88,1049.4
64,2023-03-05,Asia-Pacific,Equipment,Running Shoes,18,148.91,2680.38
65,2023-03-06,India,Equipment,Training Shoes,6,198.98,1193.88
66,2023-03-07,Asia-Pacific,Footwear,Bags,15,40.93,613.95
67,2023-03-08,Asia-Pacific,Footwear,Jackets,14,137.86,1930.04
68,2023-03-09,India,Footwear,Bags,18,194.28,3497.04
69,2023-03-10,India,Footwear,Bags,15,118.43,1776.45
70,2023-03-11,Asia-Pacific,Equipment,Basketball Shoes,15,185.94,2789.1
71,2023-03-12,North America,Equipment,Bags,4,211.98,847.92
72,2023-03-13,Latin America,Footwear,Training Shoes,13,208.23,2706.99
73,2023-03-14,India,Apparel,Basketball Shoes,10,71.22,712.2
74,2023-03-15,Europe,Equipment,Basketball Shoes,1,229.14,229.14
75,2023-03-16,Europe,Apparel,Jackets,7,156.0,1092.0
76,2023-03-17,Latin America,Equipment,Running Shoes,4,66.26,265.04
77,2023-03-18,India,Equipment,Shorts,15,203.34,3050.1
78,2023-03-19,Latin America,Apparel,Basketball Shoes,6,82.23,493.38
79,2023-03-20,Latin America,Footwear,Running Shoes,2,99.89,199.78
80,2023-03-21,Latin America,Footwear,Bags,16,118.67,1898.72
81,2023-03-22,India,Apparel,Training Shoes,12,138.72,1664.64
82,2023-03-23,India,Apparel,Bags,17,63.79,1084.43
83,2023-03-24,North America,Apparel,T-Shirts,19,216.25,4108.75
84,2023-03-25,Latin America,Apparel,Training Shoes,4,209.46,837.84
85,2023-03-26,India,Equipment,Basketball Shoes,10,93.61,936.1
86,2023-03-27,North America,Equipment,Bags,19,243.31,4622.89
87,2023-03-28,Asia-Pacific,Apparel,Shorts,8,38.26,306.08
88,2023-03-29,Asia-Pacific,Apparel,Basketball Shoes,1,52.5,52.5
89,2023-03-30,India,Footwear,Shorts,10,197.36,1973.6
90,2023-03-31,Asia-Pacific,Equipment,Running Shoes,8,79.57,636.56
91,2023-04-01,India,Apparel,Shorts,5,71.94,359.7
92,2023-04-02,Latin America,Equipment,Jackets,14,30.04,420.56
93,2023-04-03,Latin America,Equipment,Training Shoes,9,99.03,891.27
94,2023-04-04,North America,Apparel,Running Shoes,7,41.88,293.16
95,2023-04-05,Latin America,Apparel,Training Shoes,7,168.49,1179.43
96,2023-04-06,India,Footwear,Bags,13,26.4,343.2
97,2023-04-07,Europe,Equipment,Basketball Shoes,9,123.24,1109.16
98,2023-04-08,Asia-Pacific,Equipment,Bags,7,224.25,1569.75
99,2023-04-09,Latin America,Footwear,Basketball Shoes,13,152.04,1976.52
100,2023-04-10,Latin America,Equipment,T-Shirts,4,99.17,396.68
101,2023-04-11,Europe,Apparel,Running Shoes,17,49.38,839.46
102,2023-04-12,Europe,Footwear,Bags,15,239.72,3595.8
103,2023-04-13,Asia-Pacific,Apparel,Shorts,18,29.13,524.34
104,2023-04-14,North America,Footwear,Jackets,1,137.44,137.44
105,2023-04-15,Latin America,Apparel,Shorts,1,107.93,107.93
106,2023-04-16,Asia-Pacific,Equipment,Bags,19,197.99,3761.81
107,2023-04-17,Latin America,Apparel,T-Shirts,12,157.82,1893.84
108,2023-04-18,North America,Footwear,T-Shirts,17,236.16,4014.72
109,2023-04-19,Asia-Pacific,Apparel,T-Shirts,19,239.18,4544.42
110,2023-04-20,India,Footwear,Jackets,4,188.63,754.52
111,2023-04-21,Asia-Pacific,Equipment,Jackets,6,132.21,793.26
112,2023-04-22,Latin America,Apparel,Jackets,8,145.13,1161.04
113,2023-04-23,Europe,Equipment,T-Shirts,12,231.74,2780.88
114,2023-04-24,Asia-Pacific,Apparel,Running Shoes,7,190.6,1334.2
115,2023-04-25,Europe,Equipment,T-Shirts,15,193.47,2902.05
116,2023-04-26,Europe,Equipment,Jackets,11,236.45,2600.95
117,2023-04-27,Latin America,Equipment,Basketball Shoes,16,108.87,1741.92
118,2023-04-28,Europe,Equipment,Training Shoes,17,211.82,3600.94
119,2023-04-29,North America,Equipment,Basketball Shoes,15,194.6,2919.0
120,2023-04-30,Latin America,Apparel,Basketball Shoes,11,111.33,1224.63
121,2023-05-01,Europe,Equipment,T-Shirts,3,194.89,584.67
122,2023-05-02,Latin America,Equipment,Running Shoes,10,49.06,490.6
123,2023-05-03,India,Footwear,Basketball Shoes,3,29.02,87.06
124,2023-05-04,Latin America,Footwear,Training Shoes,10,221.63,2216.3
125,2023-05-05,Europe,Apparel,Basketball Shoes,19,244.86,4652.34
126,2023-05-06,India,Equipment,Training Shoes,9,122.37,1101.33
127,2023-05-07,North America,Equipment,Training Shoes,13,112.7,1465.1
128,2023-05-08,Europe,Footwear,Training Shoes,1,76.02,76.02
129,2023-05-09,India,Apparel,Bags,10,235.78,2357.8
130,2023-05-10,Latin America,Equipment,Jackets,3,83.59,250.77
131,2023-05-11,North America,Apparel,T-Shirts,11,170.36,1873.96
132,2023-05-12,India,Footwear,Jackets,6,208.51,1251.06
133,2023-05-13,Europe,Apparel,Basketball Shoes,18,126.91,2284.38
134,2023-05-14,Latin America,Footwear,Basketball Shoes,15,240.52,3607.8
135,2023-05-15,Latin America,Footwear,Basketball Shoes,3,107.27,321.81
136,2023-05-16,Latin America,Footwear,Shorts,16,199.72,3195.52
137,2023-05-17,Asia-Pacific,Apparel,Shorts,5,73.2,366.0
138,2023-05-18,Europe,Footwear,Training Shoes,14,133.24,1865.36
139,2023-05-19,India,Footwear,Training Shoes,16,182.21,2915.36
140,2023-05-20,India,Apparel,Running Shoes,16,81.89,1310.24
141,2023-05-21,Asia-Pacific,Apparel,T-Shirts,12,212.48,2549.76
142,2023-05-22,Latin America,Apparel,Training Shoes,5,236.54,1182.7
143,2023-05-23,North America,Apparel,Training Shoes,19,90.05,1710.95
144,2023-05-24,India,Equipment,Basketball Shoes,3,136.19,408.57
145,2023-05-25,North America,Equipment,Training Shoes,16,28.79,460.64
146,2023-05-26,Europe,Equipment,Training Shoes,6,115.97,695.82
147,2023-05-27,North America,Apparel,Running Shoes,10,159.43,1594.3
148,2023-05-28,Latin America,Apparel,Bags,1,61.42,61.42
149,2023-05-29,India,Footwear,Shorts,14,244.99,3429.86
150,2023-05-30,Europe,Apparel,Running Shoes,4,64.48,257.92
151,2023-05-31,Asia-Pacific,Footwear,Running Shoes,4,138.84,555.36
152,2023-06-01,North America,Apparel,Bags,8,27.12,216.96
153,2023-06-02,Asia-Pacific,Apparel,Basketball Shoes,6,92.09,552.54
154,2023-06-03,North America,Apparel,Training Shoes,7,205.82,1440.74
155,2023-06-04,Asia-Pacific,Footwear,T-Shirts,17,116.81,1985.77
156,2023-06-05,Europe,Apparel,T-Shirts,3,217.81,653.43
157,2023-06-06,Europe,Equipment,Basketball Shoes,12,209.38,2512.56
158,2023-06-07,India,Apparel,Running Shoes,3,122.68,368.04
159,2023-06-08,Europe,Equipment,Training Shoes,5,60.07,300.35
160,2023-06-09,North America,Footwear,Jackets,12,207.17,2486.04
161,2023-06-10,North America,Footwear,Running Shoes,6,232.2,1393.2
162,2023-06-11,Europe,Apparel,Bags,11,79.87,878.57
163,2023-06-12,Europe,Equipment,Shorts,10,41.89,418.9
164,2023-06-13,Europe,Footwear,Shorts,15,214.99,3224.85
165,2023-06-14,India,Footwear,Training Shoes,14,161.86,2266.04
166,2023-06-15,Asia-Pacific,Equipment,Bags,8,83.45,667.6
167,2023-06-16,North America,Equipment,Running Shoes,4,63.78,255.12
168,2023-06-17,Asia-Pacific,Footwear,Bags,1,136.82,136.82
169,2023-06-18,Asia-Pacific,Apparel,Running Shoes,17,233.6,3971.2
170,2023-06-19,Latin America,Apparel,Jackets,14,62.61,876.54
171,2023-06-20,Asia-Pacific,Equipment,Training Shoes,4,187.51,750.04
172,2023-06-21,India,Footwear,Jackets,3,81.94,245.82
173,2023-06-22,Latin America,Footwear,Bags,13,158.13,2055.69
174,2023-06-23,North America,Apparel,T-Shirts,19,125.22,2379.18
175,2023-06-24,Europe,Apparel,Training Shoes,4,152.44,609.76
176,2023-06-25,Latin America,Apparel,Shorts,8,55.42,443.36
